predictor,coeff_train,coeff_val
intercept,48.64473420847196,61.53860833655217
CONV_850,-249679.03089454552,-137520.94786825223
DIV_200,41021.43723578921,49225.115654238296
q_850,429.0523494486978,562.4769937540738
T_850,-0.18612411279128077,-0.2363021361805365
WSPD_700,0.016599899670107998,0.025552484367393387
CONV850_x_q850,29045597.484356537,18470270.329655923
TEND_CONV850_6h,-74218.81465977,-77613.9854452575
TEND_CONV850_12h,-29011.278757410524,-29256.21809875876
TEND_q850_6h,-158.08725564396684,-266.3252038610973
