predictor,coeff_train,coeff_val
intercept,47.60738236863582,86.4376168561069
CONV_850,140372.34697501603,-67469.52246756738
DIV_200,56077.555938815,50836.78579919612
q_850,375.684088964665,496.70190002316485
T_850,-0.17983308248079097,-0.3181088235875045
WSPD_700,0.0020563171869983983,-0.00344243903677976
CONV850_x_q850,-1661313.0650550374,11757168.910805248
TEND_CONV850_6h,-81569.82179327034,-69155.07353800515
TEND_CONV850_12h,-20797.614207023562,-23765.308464989394
TEND_q850_6h,-142.83911202633388,-164.72670044825958
